"","MSOA11CD.row","tuesday.12pm15","tuesday.12pm30","tuesday.12pm45","tuesday.12pm60","tuesday.12pm75","tuesday.12pm90"
"3895",722,NA,3,3,10,18,24
"3896",723,NA,3,6,7,14,20
"3897",724,NA,1,3,10,16,21
"3898",725,NA,1,4,5,11,19
"3899",726,NA,1,8,11,21,23
"3900",727,NA,3,4,10,18,23
"3901",728,NA,1,3,5,12,21
"3902",729,NA,1,1,3,7,11
"3904",730,1,3,10,20,30,36
"3905",731,1,1,3,10,15,21
"3906",732,1,1,5,11,17,21
"3907",733,NA,4,7,13,20,27
"3908",734,NA,1,4,9,15,23
"3909",735,NA,1,2,5,10,13
"3910",736,NA,NA,2,6,6,14
"3911",737,NA,NA,2,8,13,15
"3912",738,NA,NA,3,7,13,18
"3913",739,NA,NA,3,6,11,20
"3915",740,NA,NA,5,16,21,25
"3916",741,NA,NA,1,3,8,9
"3917",742,NA,NA,5,12,20,25
"3918",743,NA,NA,1,6,12,19
"3919",744,NA,NA,2,3,12,21
"3920",746,NA,2,6,15,25,30
"3921",747,NA,1,4,10,16,24
"3922",748,NA,1,2,6,11,16
"3923",749,NA,2,5,13,21,28
"3925",750,1,2,3,5,6,9
"3926",751,NA,1,3,5,11,18
"3927",752,1,2,3,5,6,9
"3928",753,NA,2,4,7,10,19
"3929",754,NA,1,3,6,10,15
"3930",755,NA,2,3,5,7,8
"3931",756,NA,1,2,7,10,19
"3932",757,NA,NA,3,11,18,22
"3933",758,NA,NA,3,6,15,23
"3934",759,NA,1,5,6,12,20
"3936",760,NA,1,3,6,10,14
"3937",761,NA,NA,4,6,9,13
"3938",762,NA,NA,2,6,8,13
"3939",763,NA,2,3,10,15,15
"3940",764,NA,NA,1,2,4,4
"3941",765,NA,1,2,11,17,22
"3942",766,NA,NA,5,9,13,20
"3943",767,NA,1,2,10,15,20
"3944",768,NA,NA,5,9,13,19
"3945",769,NA,1,3,8,15,19
"3947",770,NA,NA,6,9,15,24
"3948",771,NA,2,5,8,15,23
"3949",772,NA,2,2,5,9,16
"3950",773,1,2,2,4,9,16
"3951",775,NA,2,2,3,6,10
"3952",776,NA,2,2,6,10,18
"3953",777,NA,2,2,6,9,17
"3954",778,NA,1,1,5,7,15
"3955",779,NA,1,1,9,13,15
"3957",780,1,1,2,8,9,16
"3958",781,1,2,2,3,9,15
"3959",782,NA,1,2,4,9,13
"3960",783,NA,1,2,4,4,11
"3961",784,NA,1,3,4,11,15
"3962",785,NA,1,3,4,7,13
"3963",786,NA,NA,7,14,22,27
"3964",787,NA,2,11,19,28,36
"3965",788,NA,1,10,19,23,36
"3966",789,NA,NA,6,14,23,30
"3968",790,NA,2,9,19,26,36
"3969",791,NA,2,10,20,23,36
"3970",792,NA,1,8,18,27,32
"3971",793,NA,1,4,13,19,21
"3972",794,NA,3,11,18,27,36
"3973",795,NA,NA,4,15,20,29
"3974",796,NA,NA,3,11,21,26
"3975",797,NA,3,8,16,22,31
"3976",798,NA,2,5,16,23,35
"3977",799,NA,3,12,19,31,38
"3980",800,NA,2,5,15,20,30
"3981",801,NA,2,5,14,20,28
"3982",802,NA,3,5,15,24,29
"3983",803,NA,1,5,14,22,30
"3984",804,NA,1,3,11,21,26
"3985",805,NA,1,4,13,22,27
"3986",806,1,2,6,16,25,31
"3987",807,NA,1,4,14,23,31
"3988",808,NA,NA,3,7,19,27
"3989",809,NA,1,3,10,21,25
"3991",810,NA,1,2,6,19,25
"3992",811,NA,1,2,4,15,23
"3993",812,NA,1,3,7,19,24
"3994",813,NA,1,2,7,21,26
"3995",814,NA,1,2,6,14,22
"3996",815,NA,1,2,9,20,25
"3997",816,NA,1,3,10,19,25
"3998",817,NA,1,2,8,15,23
"3999",818,NA,NA,2,4,7,10
"4000",819,NA,1,3,6,13,17
"4002",820,NA,1,4,8,17,23
"4003",821,NA,1,3,8,14,21
"4004",822,NA,2,5,7,16,24
"4005",823,NA,1,4,9,15,21
"4006",824,NA,1,3,5,9,14
"4007",825,1,1,2,8,18,23
"4008",826,NA,1,3,9,15,22
"4009",827,NA,NA,1,3,4,5
"4010",828,1,1,2,9,17,23
"4011",829,1,1,2,8,15,21
"4013",830,NA,1,1,5,13,22
"4014",831,NA,1,3,6,12,22
"4015",832,NA,1,1,6,10,15
"4016",833,NA,2,5,7,12,19
"4017",834,NA,1,1,4,12,16
"4018",835,NA,1,4,5,7,16
"4019",836,NA,1,2,5,8,16
"4020",837,NA,1,1,4,11,18
"4021",838,NA,1,2,5,6,13
"4022",839,NA,NA,NA,1,1,3
"4024",840,NA,2,2,9,17,27
"4025",841,NA,NA,6,17,25,32
"4026",842,NA,NA,8,17,24,29
"4027",843,NA,2,4,11,20,27
"4028",844,NA,NA,6,13,25,30
"4029",845,NA,2,9,17,27,33
"4030",846,NA,3,8,15,24,32
"4031",847,NA,NA,8,15,26,29
"4032",848,NA,2,8,13,23,30
"4033",849,NA,2,9,18,26,35
"4035",850,NA,2,7,13,19,25
"4036",851,NA,NA,8,17,26,33
"4037",852,NA,2,9,18,25,29
"4038",853,NA,NA,8,16,24,30
"4039",854,NA,NA,6,13,23,29
"4040",855,NA,1,7,15,25,31
"4041",856,NA,1,3,11,17,24
"4042",857,NA,1,8,16,26,30
"4043",858,NA,3,5,11,21,26
"4044",859,NA,1,9,17,25,32
"4046",860,NA,1,10,20,29,36
"4047",861,NA,1,9,14,26,33
"4048",862,NA,1,7,14,26,32
"4049",863,NA,1,6,15,21,29
"4050",864,NA,NA,7,14,21,28
"4051",865,NA,NA,6,13,23,29
"4052",866,NA,1,7,13,25,31
"4053",867,NA,NA,7,13,20,28
"4054",868,NA,NA,7,14,20,28
"4055",869,NA,1,3,3,9,13
"4057",870,NA,1,3,7,13,22
"4058",871,1,1,3,9,15,20
"4059",872,1,1,1,8,13,17
"4060",873,1,1,1,8,14,24
"4061",874,NA,1,1,7,12,19
"4062",875,NA,1,1,7,13,21
"4063",876,NA,1,2,10,13,21
"4064",877,NA,1,3,10,18,23
"4065",878,NA,1,1,8,15,21
"4066",879,NA,1,6,14,21,25
"4068",880,NA,NA,6,15,19,25
"4069",881,NA,1,1,10,15,22
"4070",882,NA,NA,9,14,22,29
"4071",883,NA,1,4,8,17,24
"4072",884,NA,NA,9,17,27,35
"4073",885,NA,NA,6,9,23,29
"4074",886,NA,NA,NA,2,3,7
"4075",887,NA,2,3,12,23,27
"4076",888,NA,2,5,12,22,28
"4077",889,NA,NA,3,12,21,26
"4079",890,NA,NA,4,6,12,21
"4080",891,NA,2,5,15,23,28
"4081",892,NA,2,6,15,27,29
"4082",893,NA,2,3,13,19,26
"4083",894,NA,2,2,11,17,22
"4084",895,NA,2,3,14,20,27
"4085",896,NA,2,2,13,17,24
"4086",897,NA,1,3,11,16,21
"4087",898,NA,2,7,15,22,31
"4088",899,NA,1,6,13,22,29
"4091",900,NA,1,6,13,20,29
"4092",901,1,1,7,14,22,30
"4093",902,NA,3,9,15,22,27
"4094",903,NA,1,8,13,20,29
"4095",904,1,1,8,14,23,31
"4096",905,NA,1,6,16,21,29
"4097",906,NA,3,8,13,22,29
"4098",907,NA,1,4,7,11,12
"4099",908,NA,2,7,14,20,29
"4101",910,NA,2,6,11,18,26
"4102",911,NA,1,4,13,20,28
"4103",912,1,1,6,12,19,25
"4104",913,NA,1,5,14,22,26
"4105",914,NA,4,6,10,18,27
"4106",915,NA,3,5,10,17,24
"4107",916,NA,2,7,9,17,26
"4108",917,NA,1,7,17,26,32
"4109",918,NA,2,7,11,19,26
"4110",919,NA,1,4,10,17,24
"4112",920,NA,2,3,7,18,22
"4113",921,NA,2,5,8,17,22
"4114",922,NA,2,3,13,19,25
"4115",923,NA,2,3,12,20,28
"4116",924,NA,2,7,11,20,26
"4117",925,NA,2,7,16,24,28
"4118",926,NA,NA,3,13,18,24
"4119",927,1,4,4,14,20,27
"4120",928,NA,2,7,17,24,31
"4121",929,NA,2,7,19,24,33
"4123",930,2,3,6,15,23,28
"4124",931,NA,2,7,19,23,30
"4125",932,NA,NA,4,12,16,20
"4126",933,NA,1,4,13,20,26
"4127",934,NA,1,5,14,21,28
"4128",935,NA,1,5,14,18,28
"4129",936,NA,1,5,14,20,28
"4130",937,NA,1,6,13,20,28
"4131",938,NA,1,6,15,21,27
"4132",939,NA,1,7,16,22,31
"4134",940,NA,2,7,17,24,35
"4135",941,NA,2,4,12,16,20
"4136",942,1,2,8,17,24,35
"4137",943,NA,3,8,17,25,32
"4138",944,1,4,13,21,28,36
"4139",945,1,2,10,18,25,36
"4140",946,NA,4,15,22,34,41
"4141",947,NA,2,10,16,24,33
"4142",948,1,1,11,18,26,35
"4143",949,NA,2,10,19,28,35
"4145",950,NA,2,13,19,30,35
"4146",951,NA,3,14,20,31,38
"4147",952,NA,2,8,16,22,32
"4148",953,NA,5,14,21,32,39
"4149",954,NA,3,10,18,31,36
"4150",955,NA,3,11,16,27,34
"4151",956,NA,5,11,17,25,35
"4152",957,NA,4,15,18,33,36
"4153",959,NA,NA,NA,NA,NA,1
"4155",960,NA,NA,NA,1,1,1
"4156",961,NA,NA,NA,NA,NA,2
"4157",962,NA,NA,NA,1,1,1
"4158",963,NA,NA,NA,NA,NA,1
"4159",964,NA,NA,NA,NA,NA,2
"4160",967,NA,NA,NA,NA,1,1
"4161",968,NA,NA,NA,NA,1,1
"4162",969,NA,NA,NA,NA,NA,2
"4164",970,NA,NA,NA,NA,NA,1
"4165",972,NA,NA,NA,NA,1,1
"4166",973,NA,NA,NA,NA,1,1
"4167",974,NA,NA,NA,NA,1,1
"4168",975,NA,NA,NA,1,1,1
"4169",976,NA,NA,NA,NA,NA,1
"4170",977,NA,NA,NA,NA,NA,1
"4171",979,NA,NA,NA,NA,NA,1
"4173",980,NA,NA,NA,NA,1,1
"4174",981,NA,NA,NA,NA,NA,1
"4175",982,NA,NA,NA,NA,NA,2
"4176",983,NA,NA,NA,NA,NA,1
"4177",985,NA,NA,NA,NA,NA,1
"4178",987,NA,NA,NA,NA,NA,1
"4180",990,NA,NA,NA,NA,NA,1
"4181",995,NA,NA,NA,NA,1,1
"4182",997,NA,NA,NA,1,1,1
"4183",998,NA,NA,NA,NA,NA,1
"4184",999,NA,NA,NA,NA,NA,1
"4",1000,NA,NA,NA,NA,1,1
"5",1001,NA,NA,NA,NA,2,2
"6",1002,NA,NA,NA,NA,1,2
"7",1004,NA,NA,NA,NA,2,2
"8",1008,NA,NA,NA,NA,1,2
"9",1009,NA,NA,NA,NA,NA,1
"11",1010,NA,NA,NA,NA,NA,1
"12",1013,NA,NA,NA,NA,2,2
"13",1014,NA,NA,NA,NA,1,1
"14",1015,NA,NA,NA,1,1,2
"15",1016,NA,NA,NA,NA,2,2
"16",1017,NA,NA,NA,NA,2,2
"17",1018,NA,NA,NA,NA,1,2
"18",1019,NA,NA,NA,1,1,2
"20",1020,NA,NA,NA,1,1,1
"21",1021,NA,NA,NA,1,1,1
"22",1022,NA,NA,NA,1,1,1
"23",1023,NA,NA,NA,1,2,2
"24",1024,NA,NA,NA,1,1,1
"25",1025,NA,NA,NA,1,1,1
"26",1026,NA,NA,NA,1,2,2
"27",1027,NA,1,NA,1,1,1
"28",1028,NA,1,NA,1,1,1
"29",1029,NA,1,NA,1,1,1
"31",1030,NA,1,NA,1,1,2
"32",1031,1,1,NA,1,1,1
"33",1032,NA,1,NA,1,1,1
"34",1033,NA,NA,NA,1,1,2
"35",1034,NA,NA,NA,1,1,1
"36",1035,NA,1,NA,1,1,1
"37",1036,NA,NA,NA,1,1,1
"38",1037,NA,NA,NA,1,1,1
"39",1038,NA,NA,NA,1,1,1
"40",1039,NA,NA,NA,NA,1,1
"42",1040,NA,NA,NA,1,1,1
"43",1041,NA,NA,NA,1,1,1
"44",1042,NA,NA,NA,1,1,1
"45",1043,NA,NA,NA,NA,1,1
"46",1044,NA,NA,NA,NA,1,1
"47",1045,NA,NA,NA,1,1,1
"48",1046,NA,NA,NA,1,1,1
"49",1047,NA,NA,NA,1,1,1
"50",1048,NA,NA,NA,NA,NA,1
"51",1049,NA,NA,NA,1,1,1
"53",1050,NA,NA,NA,NA,1,1
"54",1051,NA,NA,NA,1,1,1
"55",1053,NA,NA,NA,1,1,1
"56",1054,NA,NA,NA,NA,1,1
"57",1055,NA,NA,NA,1,1,1
"58",1056,NA,NA,NA,1,1,1
"59",1057,NA,NA,NA,NA,NA,1
"60",1058,NA,NA,NA,NA,1,1
"61",1059,NA,NA,NA,NA,NA,1
"63",1060,NA,NA,NA,NA,1,1
"64",1061,NA,NA,NA,NA,1,1
"65",1062,NA,NA,NA,NA,1,1
"66",1064,NA,NA,NA,NA,NA,1
"67",1065,NA,NA,NA,NA,NA,1
"68",1066,NA,NA,NA,NA,NA,1
"69",1068,NA,NA,NA,NA,NA,1
"71",1078,NA,NA,NA,NA,1,1
"72",1079,NA,NA,NA,NA,1,1
"74",1080,NA,NA,NA,1,1,1
"75",1083,NA,NA,NA,NA,1,1
"76",1085,NA,NA,NA,NA,1,1
"77",1086,NA,NA,NA,1,1,1
"78",1087,NA,NA,NA,NA,1,1
"79",1088,NA,NA,NA,NA,1,1
"81",1090,NA,NA,NA,NA,NA,1
"82",1091,NA,NA,NA,NA,1,1
"83",1092,NA,NA,NA,1,1,1
"84",1094,NA,NA,NA,1,1,1
"85",1095,NA,NA,NA,1,1,1
"86",1097,NA,NA,NA,NA,1,1
"87",1098,NA,NA,NA,1,1,1
"88",1099,NA,NA,NA,1,1,1
"91",1100,NA,NA,NA,1,1,1
"92",1101,NA,NA,NA,1,1,1
"93",1102,NA,NA,NA,1,1,1
"94",1107,NA,NA,NA,NA,NA,1
"95",1109,NA,NA,NA,NA,NA,1
"97",1111,NA,NA,NA,NA,NA,1
"98",1112,NA,NA,NA,NA,1,1
"99",1119,NA,NA,NA,1,1,1
"101",1120,NA,NA,NA,NA,1,2
"102",1121,NA,NA,NA,NA,1,2
"103",1122,NA,NA,NA,NA,1,1
"104",1123,NA,NA,NA,1,1,1
"105",1124,NA,NA,NA,1,1,1
"106",1125,NA,NA,NA,1,1,1
"107",1126,NA,NA,NA,1,1,1
"108",1127,NA,NA,NA,1,1,1
"110",1135,NA,NA,NA,NA,1,1
"111",1137,NA,NA,NA,1,1,2
"112",1138,NA,NA,NA,1,1,2
"114",1143,NA,NA,NA,1,2,2
"115",1144,NA,NA,NA,1,1,2
"116",1149,NA,NA,NA,NA,NA,1
"118",1150,NA,NA,NA,NA,1,2
"119",1151,NA,NA,NA,NA,1,2
"120",1155,NA,NA,NA,NA,1,1
"121",1158,NA,NA,NA,1,1,1
"122",1159,NA,NA,NA,1,1,1
"124",1160,NA,NA,NA,1,1,1
"125",1161,NA,NA,NA,NA,1,1
"126",1162,NA,NA,NA,NA,1,1
"127",1163,NA,NA,NA,1,1,1
"128",1164,NA,NA,NA,1,1,1
"129",1165,NA,NA,NA,1,1,1
"130",1166,NA,NA,NA,NA,1,1
"131",1168,NA,NA,NA,NA,1,1
"132",1169,NA,NA,NA,NA,1,1
"134",1170,NA,NA,NA,NA,1,1
"135",1171,NA,NA,NA,1,1,1
"136",1172,NA,NA,NA,NA,1,1
"137",1173,NA,NA,NA,NA,1,1
"138",1175,NA,NA,NA,NA,1,1
"139",1176,NA,NA,NA,NA,1,1
"140",1177,NA,NA,NA,NA,NA,1
"141",1178,NA,NA,NA,NA,NA,1
"142",1179,NA,NA,NA,NA,1,1
"144",1180,NA,NA,NA,NA,NA,1
"145",1181,NA,NA,NA,NA,1,1
"146",1182,NA,NA,NA,NA,NA,1
"147",1183,NA,NA,NA,NA,NA,1
"148",1184,NA,NA,NA,NA,1,1
"149",1185,NA,NA,NA,NA,NA,1
"150",1187,NA,NA,NA,NA,NA,1
"151",1188,NA,NA,NA,NA,1,1
"153",1191,NA,NA,NA,NA,NA,1
"154",1193,NA,NA,NA,NA,NA,1
"155",1196,NA,NA,NA,NA,NA,1
"156",1198,NA,NA,NA,NA,NA,1
"159",1201,NA,NA,NA,1,1,1
"160",1203,NA,NA,NA,1,1,1
"161",1204,NA,NA,NA,1,1,1
"162",1205,NA,NA,NA,1,1,1
"163",1207,NA,NA,NA,NA,1,1
"164",1209,NA,NA,NA,1,1,1
"166",1210,NA,1,NA,1,1,1
"167",1211,NA,1,NA,1,1,1
"168",1212,NA,NA,NA,1,1,1
"169",1213,NA,1,NA,1,1,1
"170",1215,NA,NA,NA,NA,NA,1
"171",1216,NA,NA,NA,1,1,1
"172",1218,NA,NA,NA,1,1,1
"173",1219,NA,NA,NA,NA,NA,1
"175",1220,NA,NA,NA,1,1,1
"176",1221,NA,NA,NA,1,1,1
"177",1222,NA,NA,NA,NA,1,1
"178",1223,NA,NA,NA,1,1,1
"179",1225,NA,NA,NA,1,1,1
"180",1226,NA,NA,NA,NA,1,1
"181",1227,NA,NA,NA,1,1,1
"182",1228,NA,NA,NA,1,1,1
"184",1230,NA,NA,NA,1,1,1
"185",1231,NA,NA,NA,NA,NA,1
"186",1233,NA,NA,NA,NA,1,1
"187",1235,NA,NA,NA,NA,1,1
"189",1241,NA,NA,NA,NA,1,1
"190",1244,NA,NA,NA,NA,NA,1
"191",1245,NA,NA,NA,NA,NA,1
"192",1248,NA,NA,NA,NA,NA,1
"195",1263,NA,NA,NA,NA,NA,1
"196",1266,NA,NA,NA,NA,1,1
"197",1267,NA,NA,NA,NA,NA,1
"198",1268,NA,NA,NA,NA,1,1
"199",1269,NA,NA,NA,NA,1,1
"201",1271,NA,NA,NA,1,1,1
"202",1272,NA,NA,NA,NA,1,1
"203",1277,NA,NA,NA,NA,NA,1
"204",1278,NA,NA,NA,NA,1,1
"206",1280,NA,NA,NA,NA,NA,1
"207",1281,NA,NA,NA,NA,1,1
"208",1284,NA,NA,NA,NA,1,1
"209",1285,NA,NA,NA,NA,NA,1
"210",1286,NA,NA,NA,NA,NA,1
"211",1288,NA,NA,NA,NA,1,1
"212",1289,NA,NA,NA,NA,NA,1
"214",1290,NA,NA,NA,NA,1,1
"215",1292,NA,NA,NA,NA,NA,1
"216",1293,NA,NA,NA,1,1,1
"217",1294,NA,NA,NA,1,1,1
"218",1295,NA,NA,NA,NA,1,1
"219",1296,NA,NA,NA,NA,1,1
"220",1297,NA,NA,NA,NA,1,1
"221",1298,NA,NA,NA,1,1,1
"224",1301,NA,NA,NA,NA,1,1
"225",1305,NA,NA,NA,1,1,1
"226",1306,NA,NA,NA,1,1,1
"227",1307,NA,NA,NA,1,1,1
"228",1308,NA,NA,1,1,1,1
"230",1310,NA,NA,NA,1,1,1
"231",1311,NA,NA,NA,1,1,1
"232",1312,NA,NA,NA,NA,1,1
"233",1313,NA,NA,NA,NA,1,1
"234",1314,NA,NA,NA,NA,1,1
"235",1315,NA,NA,NA,NA,1,1
"236",1317,NA,NA,NA,NA,NA,1
"238",1322,NA,NA,NA,NA,NA,1
"239",1323,NA,NA,NA,NA,NA,1
"240",1326,NA,NA,NA,NA,NA,1
"241",1327,NA,NA,NA,NA,NA,1
"242",1328,NA,NA,NA,NA,NA,2
"243",1329,NA,NA,NA,NA,1,1
"245",1330,NA,NA,NA,NA,NA,1
"246",1331,NA,NA,NA,NA,NA,1
"247",1332,NA,NA,NA,NA,NA,1
"248",1333,NA,NA,NA,NA,1,1
"249",1334,NA,NA,NA,NA,NA,1
"250",1335,NA,NA,NA,NA,NA,1
"251",1336,NA,NA,NA,NA,1,2
"252",1337,NA,NA,NA,NA,1,1
"253",1338,NA,NA,NA,NA,NA,1
"254",1339,NA,NA,NA,NA,NA,1
"256",1340,NA,NA,NA,NA,NA,2
"257",1341,NA,NA,NA,1,1,1
"258",1342,NA,NA,NA,NA,1,1
"259",1343,NA,NA,NA,NA,1,1
"260",1344,NA,NA,NA,NA,1,1
"261",1345,NA,NA,NA,NA,1,1
"262",1346,NA,NA,NA,NA,1,2
"263",1347,NA,NA,NA,NA,NA,2
"264",1348,NA,NA,NA,NA,1,1
"265",1349,NA,NA,NA,NA,NA,1
"267",1351,NA,NA,NA,NA,NA,1
"268",1352,NA,NA,NA,NA,NA,1
"269",1353,NA,NA,NA,NA,NA,1
"270",1354,NA,NA,NA,NA,NA,2
"271",1355,NA,NA,NA,NA,NA,1
"272",1358,NA,NA,NA,NA,NA,2
"273",1359,NA,NA,NA,NA,NA,1
"275",1360,NA,NA,NA,NA,NA,1
"276",1361,NA,NA,NA,NA,NA,1
"277",1366,NA,NA,NA,NA,NA,1
"279",1375,NA,NA,1,1,1,1
"280",1376,NA,NA,NA,1,1,1
"281",1377,NA,NA,1,1,1,1
"282",1379,NA,1,1,1,1,1
"284",1380,NA,NA,1,1,1,1
"285",1381,NA,NA,1,1,1,1
"286",1382,NA,NA,1,1,1,1
"287",1383,NA,1,1,1,1,1
"288",1384,NA,NA,NA,1,1,1
"289",1385,NA,NA,1,1,1,1
"290",1386,NA,1,1,1,1,1
"291",1387,NA,1,1,1,1,1
"292",1388,NA,NA,1,1,1,1
"293",1389,1,1,1,1,1,1
"295",1390,NA,NA,NA,1,1,1
"296",1391,NA,1,1,1,1,1
"297",1392,NA,1,1,1,1,1
"298",1394,NA,1,1,1,1,1
"299",1395,1,1,1,1,1,1
"300",1396,NA,NA,1,1,1,1
"301",1398,NA,NA,NA,NA,1,1
"307",1436,NA,NA,NA,NA,NA,1
"308",1437,NA,NA,NA,NA,NA,1
"309",1438,NA,NA,NA,NA,NA,1
"310",1439,NA,NA,NA,NA,NA,1
"312",1440,NA,NA,NA,NA,NA,1
"313",1442,NA,NA,NA,NA,NA,1
"314",1443,NA,NA,NA,NA,1,1
"315",1444,NA,NA,NA,NA,NA,1
"316",1445,NA,NA,NA,NA,NA,1
"317",1446,NA,NA,NA,NA,NA,1
"319",1450,NA,NA,NA,NA,NA,1
"320",1451,NA,NA,NA,NA,1,1
"321",1453,NA,NA,NA,NA,NA,1
"322",1454,NA,NA,NA,NA,NA,1
"323",1455,NA,NA,NA,NA,NA,1
"324",1456,NA,NA,NA,NA,1,1
"325",1457,NA,NA,NA,NA,1,1
"326",1459,NA,NA,NA,NA,NA,1
"328",1460,NA,NA,NA,NA,NA,1
"329",1462,NA,NA,NA,1,1,1
"330",1464,NA,NA,NA,1,1,1
"331",1465,NA,NA,NA,NA,NA,1
"332",1466,NA,NA,NA,1,1,1
"333",1467,NA,NA,NA,NA,1,1
"335",1471,NA,NA,1,1,1,1
"336",1474,NA,NA,1,1,1,1
"337",1476,NA,NA,NA,1,1,1
"338",1477,NA,NA,1,1,1,1
"339",1478,NA,NA,2,2,2,3
"340",1479,NA,NA,NA,2,3,3
"342",1480,NA,NA,NA,NA,2,2
"343",1481,NA,NA,NA,NA,1,3
"344",1482,NA,NA,2,2,2,3
"345",1483,NA,NA,NA,NA,2,2
"346",1484,NA,NA,NA,NA,1,3
"347",1485,NA,NA,NA,NA,NA,3
"348",1486,NA,NA,NA,3,3,3
"349",1487,NA,NA,NA,1,3,3
"350",1488,NA,NA,NA,NA,NA,2
"351",1489,NA,NA,NA,NA,2,2
"353",1490,NA,NA,NA,NA,2,3
"354",1491,NA,NA,NA,NA,NA,2
"355",1492,NA,NA,NA,NA,NA,3
"356",1494,NA,NA,NA,1,3,3
"357",1495,NA,NA,NA,1,1,4
"358",1496,NA,NA,NA,NA,1,1
"359",1498,NA,NA,1,2,2,4
"360",1499,NA,NA,NA,NA,1,3
"363",1500,NA,NA,NA,NA,2,3
"364",1502,NA,NA,NA,1,3,3
"365",1503,NA,NA,NA,NA,3,3
"366",1505,NA,NA,1,2,2,5
"367",1506,NA,NA,NA,1,2,3
"368",1507,NA,NA,1,2,2,3
"370",1514,NA,NA,NA,NA,1,1
"371",1515,NA,NA,NA,1,1,1
"372",1519,NA,NA,NA,1,1,1
"374",1522,NA,NA,NA,1,1,1
"375",1523,NA,NA,1,1,1,1
"376",1524,NA,NA,NA,1,1,1
"377",1525,NA,NA,1,1,1,2
"378",1527,NA,NA,NA,NA,1,1
"379",1528,NA,1,1,1,2,3
"380",1529,NA,1,1,1,2,3
"382",1530,NA,NA,1,1,1,1
"383",1531,NA,NA,NA,1,1,2
"384",1533,NA,NA,NA,1,1,1
"385",1534,NA,1,1,1,1,1
"386",1535,NA,1,1,2,2,3
"387",1536,NA,NA,NA,NA,1,2
"388",1537,NA,NA,NA,1,3,3
"389",1538,NA,NA,1,2,3,4
"390",1539,NA,NA,NA,NA,2,2
"392",1540,NA,NA,1,2,3,3
"393",1541,NA,NA,1,2,3,3
"394",1542,NA,NA,1,3,4,6
"395",1544,NA,NA,NA,1,1,1
"396",1547,NA,NA,NA,1,3,3
"397",1548,NA,NA,2,2,3,3
"398",1549,NA,NA,NA,2,3,6
"400",1550,NA,NA,NA,NA,2,3
"401",1551,NA,NA,2,2,5,5
"402",1552,NA,NA,NA,2,2,5
"403",1554,NA,NA,2,4,5,6
"404",1555,NA,NA,2,2,5,5
"405",1556,NA,NA,1,3,6,6
"406",1557,NA,NA,2,5,5,6
"407",1558,NA,NA,NA,NA,NA,1
"408",1559,NA,NA,2,4,6,6
"410",1560,NA,NA,2,5,6,6
"411",1561,NA,NA,2,2,4,4
"412",1562,NA,1,2,5,6,7
"413",1563,NA,1,2,5,6,6
"414",1564,NA,1,1,2,3,6
"415",1565,NA,1,1,2,5,5
"416",1567,NA,1,1,1,2,3
"417",1568,NA,NA,1,1,1,2
"418",1569,1,1,2,2,5,6
"420",1570,NA,NA,1,4,5,5
"421",1572,NA,NA,2,3,4,5
"422",1574,NA,NA,1,5,5,5
"423",1577,NA,NA,1,1,1,1
"424",1578,NA,1,1,3,3,5
"426",1581,NA,NA,NA,NA,3,4
"427",1583,NA,NA,NA,2,4,4
"428",1584,NA,NA,2,4,4,4
"429",1585,NA,NA,NA,1,3,3
"430",1586,NA,2,2,4,4,5
"431",1587,NA,2,2,4,5,5
"432",1589,NA,2,4,4,4,5
"434",1590,NA,2,4,5,5,5
"435",1591,NA,2,2,4,4,5
"436",1592,NA,3,3,4,5,5
"437",1593,NA,3,4,5,5,5
"438",1594,NA,1,3,5,5,6
"439",1595,1,2,3,4,5,5
"440",1596,NA,NA,4,4,4,4
"441",1597,NA,3,4,4,5,5
"442",1598,NA,1,1,3,4,5
"443",1599,1,3,4,4,5,5
"445",1600,2,2,4,5,5,5
"446",1601,NA,NA,2,3,4,4
"447",1602,NA,3,4,5,5,5
"448",1603,NA,NA,NA,NA,2,4
"449",1604,NA,1,3,4,5,5
"450",1605,NA,NA,1,4,4,4
"451",1606,NA,1,4,4,5,5
"452",1607,1,1,4,5,5,5
"453",1608,NA,1,3,4,5,5
"454",1609,NA,1,4,4,5,5
"456",1610,1,1,4,5,5,5
"457",1611,NA,2,5,5,5,5
"458",1612,NA,1,2,4,5,5
"459",1613,NA,1,3,5,5,5
"460",1614,NA,1,5,5,5,5
"461",1615,NA,1,2,4,5,5
"462",1616,NA,1,4,5,5,5
"463",1617,NA,1,4,5,5,5
"464",1619,NA,1,4,5,5,5
"466",1620,NA,1,4,5,5,5
"467",1621,NA,NA,3,5,5,5
"468",1622,NA,NA,2,5,5,5
"469",1623,NA,1,1,4,5,5
"470",1624,NA,1,1,4,5,5
"471",1625,NA,NA,3,4,5,5
"472",1626,NA,NA,1,5,5,5
"473",1627,NA,1,2,4,5,5
"474",1628,NA,1,1,4,5,5
"475",1629,NA,1,4,4,5,5
"477",1630,NA,1,4,4,5,5
"478",1631,NA,NA,2,4,5,5
"479",1632,NA,NA,1,4,5,5
"480",1633,NA,NA,NA,5,5,5
"481",1634,NA,NA,2,4,5,5
"482",1635,NA,NA,1,2,5,5
"483",1636,NA,1,3,4,5,5
"484",1637,NA,NA,NA,3,5,5
"485",1638,NA,NA,NA,2,3,4
"486",1639,NA,NA,1,3,3,3
"488",1640,NA,NA,1,4,4,5
