"","MSOA11CD.row","tuesday.12pm15","tuesday.12pm30","tuesday.12pm45","tuesday.12pm60","tuesday.12pm75","tuesday.12pm90"
"3847",68,NA,NA,1,2,5,8
"3858",69,NA,NA,1,3,6,10
"3870",70,NA,1,2,5,6,12
"3881",71,NA,1,1,2,5,7
"3892",72,NA,1,1,1,3,9
"3903",73,NA,1,2,5,7,13
"3914",74,NA,1,1,2,3,8
"3924",75,NA,1,2,2,6,9
"3935",76,NA,1,2,6,7,12
"3946",77,NA,1,1,2,4,8
"3956",78,1,1,2,3,8,9
"3967",79,NA,2,2,7,7,14
"3979",80,1,1,2,2,5,8
"3990",81,NA,NA,2,3,7,10
"4001",82,NA,1,1,2,4,8
"4012",83,NA,1,2,3,4,8
"4023",84,NA,1,2,3,7,14
"4034",85,NA,NA,3,3,7,11
"4045",86,NA,1,1,3,4,11
"4056",87,NA,1,3,3,4,8
"4067",88,NA,NA,2,3,5,9
"4078",89,NA,1,2,2,2,3
"4090",90,NA,NA,3,3,5,10
"4100",91,NA,NA,2,3,5,10
"4111",92,NA,1,1,1,3,4
"4122",93,NA,NA,2,5,10,21
"4133",94,NA,1,3,6,13,23
"4144",95,NA,2,4,10,19,29
"4154",96,NA,1,2,2,9,13
"4163",97,NA,1,3,8,15,24
"4172",98,NA,1,2,6,9,14
"4179",99,NA,1,2,4,11,18
"3",100,NA,NA,2,3,9,13
"10",101,1,1,3,9,20,27
"19",102,NA,1,2,7,14,20
"30",103,NA,1,1,6,12,18
"41",104,NA,1,2,10,20,21
"52",105,NA,1,1,3,7,11
"62",106,NA,1,4,11,20,30
"70",107,NA,1,5,7,15,24
"73",108,NA,NA,2,5,9,15
"80",109,1,1,4,9,15,21
"90",110,NA,1,4,7,15,25
"96",111,NA,1,4,11,16,23
"100",112,NA,1,1,8,14,21
"109",113,NA,1,2,11,18,23
"113",114,NA,1,5,11,21,30
"117",115,NA,1,4,10,20,31
"123",116,NA,NA,3,9,17,23
"133",117,NA,1,1,8,14,21
"143",118,NA,NA,2,4,7,15
"152",119,NA,1,3,4,7,10
"158",120,NA,1,5,9,21,26
"165",121,NA,2,5,11,20,27
"174",122,NA,NA,2,8,17,23
"183",123,NA,1,5,10,19,26
"188",124,NA,NA,5,14,19,27
"193",125,NA,NA,3,10,18,25
"194",126,NA,1,7,14,22,32
"200",127,NA,NA,2,4,7,12
"205",128,NA,1,2,4,6,10
"213",129,NA,1,4,6,8,18
"223",130,NA,1,3,6,12,16
"229",131,NA,NA,3,4,7,11
"237",132,NA,1,1,4,6,8
"244",133,1,1,2,4,6,15
"255",134,NA,1,5,6,15,19
"266",135,NA,NA,NA,3,4,4
"274",136,NA,1,3,4,8,13
"278",137,NA,1,3,5,9,15
"283",138,NA,2,4,7,11,15
"294",139,NA,NA,NA,3,4,8
"303",140,NA,1,5,7,9,18
"304",141,1,1,2,5,6,10
"305",142,1,1,2,5,7,13
"306",143,NA,NA,NA,NA,1,1
"311",144,NA,1,1,2,6,9
"318",145,NA,1,1,4,8,9
"327",146,NA,NA,1,2,4,6
"334",147,NA,NA,1,3,4,7
"341",148,NA,1,3,5,6,12
"352",149,NA,NA,1,2,4,7
"362",150,NA,1,1,2,4,7
"369",151,NA,1,2,4,6,9
"373",152,NA,NA,1,2,4,6
"381",153,NA,NA,NA,2,4,5
"391",154,NA,NA,2,4,6,12
"399",155,NA,NA,1,2,4,7
"409",156,NA,NA,NA,1,2,5
"419",157,NA,1,1,2,5,7
"425",158,NA,NA,1,2,3,8
"433",159,NA,NA,1,2,5,7
